codProd,Nome do Produto ,Un ,  Valor  ,  Valor Unitário 
39,Cerv. Skol Pilsen Lata 269ml ,15x1," R$  39,90 "," R$  2,66 "
124,Cerv. Skol Puro Malte Lata 269ml,15x1," R$  41,25 "," R$  2,75 "
40,Cerv. Skol Pilsen Lata 350ml ,12x1 ," R$  35,64 "," R$  2,97 "
125,Cerv. Skol Zero Lata Sleek 350ml,12x1 ," R$  37,08 "," R$  3,09 "
126,Cerv. Skol Puro Malte Lata 350ml,12x1 ," R$  38,16 "," R$  3,18 "
41,Cerv. Skol Pilsen Lata 473ml,12x1 ," R$  49,56 "," R$  4,13 "
82,Cerv. Skol Pilsen Lata 350ml Multipack,12x1 ," R$  34,68 "," R$  2,89 "
86,Cerv. Skol Pilsen Lata 350ml Multipack,18x1," R$  49,50 "," R$  2,75 "
127,Cerv. Corona Extra Lata 269ml,8x1," R$  31,92 "," R$  3,99 "
21,Cerv. Corona Extra Lata 350ml,8x1," R$  41,28 "," R$  5,16 "
114,Cerv. Corona Cero Lata 350ml,8x1," R$  41,28 "," R$  5,16 "
73,Cerv. Corona Extra Lata 473ml,12x1," R$  72,96 "," R$  6,08 "
128,Cerv. Corona Extra Long Neck 330ml,24x1," R$  153,84 "," R$  6,41 "
129,Cerv. Corona Cero Long Neck 330ml,24x1," R$  153,84 "," R$  6,41 "
130,Cerv. Coronita Long Neck 210ml,24x1," R$  113,76 "," R$  4,74 "
43,Cerv. Spaten Lata 269ml,8x1," R$  26,64 "," R$  3,33 "
44,Cerv. Spaten Lata 350ml,12x1," R$  48,84 "," R$  4,07 "
72,Cerv. Spaten Lata 473ml,12x1," R$  58,92 "," R$  4,91 "
131,Cerv. Spaten Long Neck 355ml,24x1," R$  109,68 "," R$  4,57 "
132,Cerv. Spaten Descartável 600ml,12x1," R$  96,84 "," R$  8,07 "
138,Beats Red Mix Lata 269ml,8x1," R$  41,28 "," R$  5,16 "
38,Beats Senses Lata 269ml,8x1," R$  41,28 "," R$  5,16 "
139,Beats Gt Lata 269ml,8x1," R$  41,28 "," R$  5,16 "
63,Beats Tropical Lata 269ml,8x1," R$  41,28 "," R$  5,16 "
140,Beats Green Mix Lata 269ml,8x1," R$  41,28 "," R$  5,16 "
60,Beats Caipirinha Lata 269ml,8x1," R$  41,28 "," R$  5,16 "
141,Brutal Fruit Lata 269ml,1x1," R$  53,52 ",
142,Smirnoff Ice Garrafa Vidro 275ml,24x1," R$  192,96 "," R$  8,04 "
143,Brutal Fruit Long Neck 275ml,12x1," R$  103,08 "," R$  8,59 "
144,Brutal Fruit Italian Long Neck 275ml,12x1," R$  103,08 "," R$  8,59 "
148,Beats Senses Long Neck 269ml,24x4," R$  153,36 "," R$  6,39 "
154,Beats GT Long Neck 269ml,24x4," R$  153,36 "," R$  6,39 "
155,Beats Tropical Long Neck 269ml,24x4," R$  153,36 "," R$  6,39 "
156,Beats Green Mix Long Neck 269ml,24x4," R$  153,36 "," R$  6,39 "
152,Beats Red Mix Long Neck 269ml,12x2," R$  76,68 "," R$  6,39 "
153,Beats Green Mix Long Neck 269ml,12x2," R$  76,68 "," R$  6,39 "
33,Cerv. Original Lata 269ml,8x1," R$  22,56 "," R$  2,82 "
34,Cerv. Original Lata 350ml,12x1," R$  47,88 "," R$  3,99 "
70,Cerv. Original Lata 473ml,12x1," R$  56,88 "," R$  4,74 "
133,Cerv. Original Long Neck 300ml ,12x1," R$  37,92 "," R$  3,16 "
134,Cerv. Originial Long Neck 600ml ,12x1 ," R$  96,84 "," R$  8,07 "
7,Cerv. Bohemia Lata 350ml,12x1," R$  54,72 "," R$  4,56 "
135,Cerv. Patagonia Bohemia Lata 350ml,8x1," R$  46,00 "," R$  5,75 "
6,Cerv. Bohemia Lata 473ml,12x1," R$  44,40 "," R$  3,70 "
136,Cerv. Patagonia Bohemia Lata 473ml,6x1," R$  39,78 "," R$  6,63 "
137,Cerv. Patagonia Bohemia Long Neck 355ml,12x1," R$  82,44 "," R$  6,87 "
157,Aguardente Pitu Lata 350ml,12x1," R$  69,00 "," R$  5,75 "
158,Gin Beefeater London 750ml,1x1," R$  96,90 "," R$  96,90 "
159,Gin Tanqueray London 750ml, 1x1," R$  95,90 "," R$  95,90 "
160,Whisky Ballantines 750ml,1x1," R$  60,90 "," R$  60,90 "
161,Cachaça Velho Barreiro 910ml,1x1," R$  14,90 "," R$  14,90 "
162,Cachaça 51 965ml,1x1," R$  13,90 "," R$  13,90 "
163,Cachaça Ypioca Conta Gotas Gold 965ml ,1x1," R$  20,99 "," R$  20,99 "
164,Aperetivo Paratudo 900ml,1x1," R$  12,99 "," R$  12,99 "
165,Vodka Smirnoff Original 998ml,1x1," R$  35,90 "," R$  35,90 "
166,Vodka Orloff 1L,1x1," R$  30,90 "," R$  30,90 "
167,Vodka Absolut 1L,1x1," R$  89,90 "," R$  89,90 "
168,Whisky White Horse 1L,1x1," R$  75,90 "," R$  75,90 "
169,Whisky Chivas Regal 1L,1x1," R$  134,90 "," R$  134,90 "
170,Whisky Passport 1L,1x1," R$  50,90 "," R$  50,90 "
171,Whisky Old Par 1L,1x1," R$  132,90 "," R$  132,90 "
172,Whisky Johnnie Black Label 1L,1x1," R$  137,99 "," R$  137,99 "
173,Whisky Johnnie Red Label 1L,1x1," R$  102,90 "," R$  102,90 "
174,Whisky Ballantines 12 Anos 1L,1x1," R$  111,90 "," R$  111,90 "
175,Whisky Ballantines Finest 1L,1x1," R$  93,90 "," R$  93,90 "
176,Conhaque Domeq 1L,1x1," R$  31,90 "," R$  31,90 "
177,"Vodka Orloff 1,75L",1x1," R$  38,90 "," R$  38,90 "
50,Isotônico Gatorade Morango-Maracujá 500ml,6x1," R$  26,10 "," R$  4,35 "
49,Isotônico Gatorade Laranja 500ml,6x1," R$  26,10 "," R$  4,35 "
178,Isotônico Gatorade Limão 500ml,6x1," R$  26,10 "," R$  4,35 "
52,Isotônico Gatorade Uva 500ml,6x1," R$  26,10 "," R$  4,35 "
51,Isotônico Gatorade Tangerina 500ml,6x1," R$  26,10 "," R$  4,35 "
179,Isotônico Gatorade Blue Berry 500ml,6x1," R$  26,10 "," R$  4,35 "
180,Isotônico Gatorade Frutas Cítricas 500ml,6x1," R$  26,10 "," R$  4,35 "
181,Isotônico Gatorade Maracujá 500ml,6x1," R$  26,10 "," R$  4,35 "
182,Isotônico Gatorade Zero Laranja 350ml,12x1," R$  35,04 "," R$  2,92 "
183,Isotônico Gatorade Zero Blue Berry 350ml,12x1," R$  35,04 "," R$  2,92 "
